,tweet_id,polarity
0,1557375693,1
1,2193820060,1
2,2176629873,1
3,1963869593,1
4,1469943723,1
5,2283293318,-1
6,2065993609,1
7,1565260664,-1
8,2190136534,-1
9,2066828169,1
10,2178314973,-1
11,2214967160,-1
12,1961465549,1
13,2049460947,1
14,2175876405,1
15,2033496481,-1
16,1962665803,-1
17,1882438400,1
18,1975786098,1
19,1754571185,1
20,2174540011,-1
21,2061065243,1
22,1993837399,-1
23,1956883087,-1
24,2017720137,-1
25,2016674684,-1
26,1679375692,-1
27,2060599469,1
28,2053324309,-1
29,2015038441,-1
30,2062834344,1
31,1978840903,1
32,1974236800,-1
33,2055570982,1
34,2052086700,1
35,2178231665,1
36,2055214195,-1
37,1998245003,-1
38,2230678772,-1
39,2069743520,-1
40,2185646666,1
41,1551552194,1
42,1979906790,1
43,1967041066,-1
44,2006668173,1
45,1553271161,1
46,1835624484,1
47,2175014053,-1
48,2053899471,-1
49,2061711738,-1
50,2053236901,-1
51,2016214117,1
52,2286395944,-1
53,1974677788,1
54,1753482250,1
55,2063629467,1
56,2187635822,1
57,2211120064,1
58,2064507047,1
59,1827953366,1
60,2263848626,-1
61,2252607685,-1
62,1955826777,-1
63,2055106370,1
64,1978867698,-1
65,2243564391,-1
66,1973792811,1
67,1834721819,-1
68,2016178295,1
69,1559162321,-1
70,2201563920,-1
71,2018508395,-1
72,1978187020,1
73,2252962944,-1
74,2177902756,1
75,1980258373,-1
76,2186674185,1
77,1993266019,-1
78,2003160510,1
79,2067723337,-1
80,1677828519,1
81,2004544608,-1
82,2180974740,1
83,1678902874,1
84,1982734855,1
85,2179921477,-1
86,1833133726,-1
87,1983861141,1
88,2203081453,-1
89,1557339949,1
90,2252644041,1
91,2070191645,1
92,1981903733,1
93,2069102575,1
94,2064011475,-1
95,2174521429,1
96,1999061292,1
97,1977424704,1
98,1978503962,1
99,1693120804,1
100,1563468076,1
101,2061505019,-1
102,2191667243,1
103,1998744700,1
104,2063339182,1
105,1985967674,1
